
2025/04/01 (01:51:39) | ===> btop++ v.1.4.0
2025/04/01 (01:51:39) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/04/03 (17:20:41) | ===> btop++ v.1.4.0
2025/04/03 (17:20:41) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...
2025/04/04 (13:21:32) | ERROR: Stall in Runner thread, restarting!

2025/04/04 (14:33:29) | ===> btop++ v.1.4.0
2025/04/04 (14:33:29) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/04/05 (15:10:55) | ===> btop++ v.1.4.0
2025/04/05 (15:10:55) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/04/05 (15:18:33) | ===> btop++ v.1.4.0
2025/04/05 (15:18:33) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/04/05 (15:25:41) | ===> btop++ v.1.4.0
2025/04/05 (15:25:41) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/04/09 (07:32:11) | ===> btop++ v.1.4.0
2025/04/09 (07:32:11) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/04/09 (14:16:34) | ===> btop++ v.1.4.0
2025/04/09 (14:16:34) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/04/09 (14:18:34) | ===> btop++ v.1.4.0
2025/04/09 (14:18:34) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/04/09 (14:19:26) | ===> btop++ v.1.4.0
2025/04/09 (14:19:26) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/04/23 (17:46:13) | ===> btop++ v.1.4.0
2025/04/23 (17:46:13) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/04/23 (17:46:15) | ===> btop++ v.1.4.0
2025/04/23 (17:46:15) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/04/23 (17:46:20) | ===> btop++ v.1.4.0
2025/04/23 (17:46:20) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/04/23 (19:37:30) | ===> btop++ v.1.4.0
2025/04/23 (19:37:30) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/04/26 (00:14:26) | ===> btop++ v.1.4.0
2025/04/26 (00:14:26) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/04/26 (00:56:00) | ===> btop++ v.1.4.0
2025/04/26 (00:56:00) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/04/27 (15:36:22) | ===> btop++ v.1.4.0
2025/04/27 (15:36:22) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/04/27 (18:08:10) | ===> btop++ v.1.4.0
2025/04/27 (18:08:10) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/04/29 (11:03:48) | ===> btop++ v.1.4.0
2025/04/29 (11:03:48) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...
